title,url,seoName,companyid
MphasiS Ltd.,/mphasis-ltd/stocks/companyid-8684.cms,mphasis-ltd,8684
NCC Ltd.,/ncc-ltd/stocks/companyid-11234.cms,ncc-ltd,11234
Dabur India Ltd.,/dabur-india-ltd/stocks/companyid-11796.cms,dabur-india-ltd,11796
Jammu & Kashmir Bank Ltd.,/jammu-kashmir-bank-ltd/stocks/companyid-8611.cms,jammu-kashmir-bank-ltd,8611
Polycab India Ltd.,/polycab-india-ltd/stocks/companyid-33820.cms,polycab-india-ltd,33820
Aditya Birla Fashion and Retail Ltd.,/aditya-birla-fashion-and-retail-ltd/stocks/companyid-46091.cms,aditya-birla-fashion-and-retail-ltd,46091
Punjab & Sind Bank,/punjab-sind-bank/stocks/companyid-11582.cms,punjab-sind-bank,11582
South Indian Bank Ltd.,/south-indian-bank-ltd/stocks/companyid-12249.cms,south-indian-bank-ltd,12249
Aster DM Healthcare Ltd.,/aster-dm-healthcare-ltd/stocks/companyid-67489.cms,aster-dm-healthcare-ltd,67489
JK Tyre & Industries Ltd.,/jk-tyre-industries-ltd/stocks/companyid-13537.cms,jk-tyre-industries-ltd,13537
National Aluminium Company Ltd.,/national-aluminium-company-ltd/stocks/companyid-11997.cms,national-aluminium-company-ltd,11997
Cholamandalam Investment & Finance Company Ltd.,/cholamandalam-investment-finance-company-ltd/stocks/companyid-12159.cms,cholamandalam-investment-finance-company-ltd,12159
Indus Towers Ltd.,/indus-towers-ltd/stocks/companyid-22411.cms,indus-towers-ltd,22411
Varun Beverages Ltd.,/varun-beverages-ltd/stocks/companyid-18605.cms,varun-beverages-ltd,18605
Security and Intelligence Services (India) Ltd.,/security-and-intelligence-services-india-ltd/stocks/companyid-46514.cms,security-and-intelligence-services-india-ltd,46514
Zee Entertainment Enterprises Ltd.,/zee-entertainment-enterprises-ltd/stocks/companyid-11769.cms,zee-entertainment-enterprises-ltd,11769
